"County","Race","Candidate","Party","Votes","PercentageOfTotalVotes","JurisdictionName"
"Stevens","CHEWELAH Council #3","Blake Wiers"," ","44","11.1959","City/Town"
"Stevens","CHEWELAH Council #3","Jon Hardy-McCauliff"," ","223","56.743","City/Town"
"Stevens","CHEWELAH Council #3","WRITE-IN"," ","0","0","City/Town"
"Stevens","CHEWELAH Council #6","Tim Dollar"," ","71","17.8392","City/Town"
"Stevens","CHEWELAH Council #6","Lonnie Hoxie"," ","300","75.3769","City/Town"
"Stevens","CHEWELAH Council #6","Ben Carpenter"," ","27","6.7839","City/Town"
"Stevens","CHEWELAH Council #6","WRITE-IN"," ","0","0","City/Town"
"Stevens","WELLPINIT SD 049 Director Position #1","Jennifer LeBret-White"," ","11","18.3333","School"
"Stevens","WELLPINIT SD 049 Director Position #1","Angie Matt"," ","27","45","School"
"Stevens","WELLPINIT SD 049 Director Position #1","Monty Ford Sr"," ","22","36.6667","School"
"Stevens","WELLPINIT SD 049 Director Position #1","WRITE-IN"," ","0","0","School"
"Thurston","PORT COMMISSIONER DISTRICT NO. 3 Port Commissioner, District No. 3","Krag Unsoeld"," ","5006","47.2665","Port"
"Thurston","PORT COMMISSIONER DISTRICT NO. 3 Port Commissioner, District No. 3","Anthony Hemstad"," ","4675","44.1413","Port"
"Thurston","PORT COMMISSIONER DISTRICT NO. 3 Port Commissioner, District No. 3","Rebecca Faust"," ","883","8.3373","Port"
"Thurston","PORT COMMISSIONER DISTRICT NO. 3 Port Commissioner, District No. 3","WRITE-IN"," ","27","0.2549","Port"
"Thurston","City of Olympia City Council, Position No. 4","Michael A. Marstrom"," ","1232","12.0031","City/Town"
"Thurston","City of Olympia City Council, Position No. 4","Wendy Carlson"," ","3973","38.7081","City/Town"
"Thurston","City of Olympia City Council, Position No. 4","Clark Gilman"," ","5034","49.0452","City/Town"
"Thurston","City of Olympia City Council, Position No. 4","WRITE-IN"," ","25","0.2436","City/Town"
"Thurston","City of Olympia City Council, Position No. 6","Dana Tan"," ","931","9.1069","City/Town"
"Thurston","City of Olympia City Council, Position No. 6","Justin Stang"," ","2982","29.1695","City/Town"
"Thurston","City of Olympia City Council, Position No. 6","Darleen Simkins"," ","1375","13.4501","City/Town"
"Thurston","City of Olympia City Council, Position No. 6","Robert Vanderpool"," ","4909","48.0192","City/Town"
"Thurston","City of Olympia City Council, Position No. 6","WRITE-IN"," ","26","0.2543","City/Town"
"Thurston","City of Olympia City Council, Position No.  7","Caleb Gieger"," ","4359","43.2526","City/Town"
"Thurston","City of Olympia City Council, Position No.  7","Paul Berendt"," ","5208","51.6769","City/Town"
"Thurston","City of Olympia City Council, Position No.  7","David Wenzel"," ","446","4.4255","City/Town"
"Thurston","City of Olympia City Council, Position No.  7","WRITE-IN"," ","65","0.645","City/Town"
"Thurston","City of Yelm Mayor","JW Foster"," ","398","37.7968","City/Town"
"Thurston","City of Yelm Mayor","Joe DePinto"," ","461","43.7797","City/Town"
"Thurston","City of Yelm Mayor","Dustin Stephan"," ","192","18.2336","City/Town"
"Thurston","City of Yelm Mayor","WRITE-IN"," ","2","0.1899","City/Town"
"Thurston","City of Yelm City Council, Position No. 6","Nicole Sims"," ","292","28.9109","City/Town"
"Thurston","City of Yelm City Council, Position No. 6","Karl O. Sabaria"," ","215","21.2871","City/Town"
"Thurston","City of Yelm City Council, Position No. 6","David Johnstone"," ","339","33.5644","City/Town"
"Thurston","City of Yelm City Council, Position No. 6","Louise Oliverio"," ","147","14.5545","City/Town"
"Thurston","City of Yelm City Council, Position No. 6","WRITE-IN"," ","17","1.6832","City/Town"
"Thurston","Olympia School District No. 111 School Board Director, District No. 3","Renee Fullerton"," ","8244","57.4015","School"
"Thurston","Olympia School District No. 111 School Board Director, District No. 3","Britney Johnson"," ","1765","12.2894","School"
"Thurston","Olympia School District No. 111 School Board Director, District No. 3","Rhyan Smith"," ","4319","30.0724","School"
"Thurston","Olympia School District No. 111 School Board Director, District No. 3","WRITE-IN"," ","34","0.2367","School"
"Thurston","Olympia School District No. 111 School Board Director, District No. 5","Emily Leddige"," ","4936","34.9204","School"
"Thurston","Olympia School District No. 111 School Board Director, District No. 5","Jeremy Ruse"," ","3508","24.8178","School"
"Thurston","Olympia School District No. 111 School Board Director, District No. 5","Gilbert Lamont"," ","5654","40","School"
"Thurston","Olympia School District No. 111 School Board Director, District No. 5","WRITE-IN"," ","37","0.2618","School"
"Thurston","Tumwater School District No. 033 School Board Director, District No. 1","Dean Mings"," ","1252","16.8076","School"
"Thurston","Tumwater School District No. 033 School Board Director, District No. 1","Julie Watts"," ","3925","52.6916","School"
"Thurston","Tumwater School District No. 033 School Board Director, District No. 1","Sarah Overbay"," ","2242","30.098","School"
"Thurston","Tumwater School District No. 033 School Board Director, District No. 1","WRITE-IN"," ","30","0.4027","School"
"Thurston","Tumwater School District No. 033 School Board Director, District No. 3","Jeff (Cowboy) Curry"," ","1500","20.2621","School"
"Thurston","Tumwater School District No. 033 School Board Director, District No. 3","Ty Kuehl"," ","3224","43.5499","School"
"Thurston","Tumwater School District No. 033 School Board Director, District No. 3","Daniel Mies"," ","2652","35.8233","School"
"Thurston","Tumwater School District No. 033 School Board Director, District No. 3","WRITE-IN"," ","27","0.3647","School"
"Thurston","Yelm Community Schools School Board Director, District No. 1","Frank King"," ","1949","58.0232","School"
"Thurston","Yelm Community Schools School Board Director, District No. 1","Ray Duncan"," ","916","27.27","School"
"Thurston","Yelm Community Schools School Board Director, District No. 1","Angela Gardner"," ","465","13.8434","School"
"Thurston","Yelm Community Schools School Board Director, District No. 1","WRITE-IN"," ","29","0.8634","School"
"Thurston","Yelm Community Schools School Board Director, District No. 4","Terrie Hargreaves"," ","85","2.4971","School"
"Thurston","Yelm Community Schools School Board Director, District No. 4","Debbie Edwards"," ","1282","37.6616","School"
"Thurston","Yelm Community Schools School Board Director, District No. 4","Ryan Jewell"," ","1581","46.4454","School"
"Thurston","Yelm Community Schools School Board Director, District No. 4","Debi Matthews"," ","320","9.4007","School"
"Thurston","Yelm Community Schools School Board Director, District No. 4","Miranda Dries"," ","103","3.0259","School"
"Thurston","Yelm Community Schools School Board Director, District No. 4","WRITE-IN"," ","33","0.9694","School"
"Thurston","CITY OF LACEY Proposition No. 1 Formation and Funding of New Lacey Metropolitan Park District","For the formation of the Lacey Metropolitan Park D"," ","4400","46.3744","City/Town"
"Thurston","CITY OF LACEY Proposition No. 1 Formation and Funding of New Lacey Metropolitan Park District","Against the formation of a metropolitan park distr"," ","5088","53.6256","City/Town"
"Thurston","FIRE PROTECTION DISTRICT NO. 9 - MCLANE BLACK LAKE Proposition No. 1 Levy Lid Lift","Approved"," ","2574","72.6093","Fire"
"Thurston","FIRE PROTECTION DISTRICT NO. 9 - MCLANE BLACK LAKE Proposition No. 1 Levy Lid Lift","Rejected"," ","971","27.3907","Fire"
"Thurston","TANGLEWILDE PARKS &amp; RECREATION DISTRICT NO. 1 Proposition No. 1 Property Tax Levy","Yes"," ","231","62.7717","Park and Recreation"
"Thurston","TANGLEWILDE PARKS &amp; RECREATION DISTRICT NO. 1 Proposition No. 1 Property Tax Levy","No"," ","137","37.2283","Park and Recreation"
"Wahkiakum","Wahkiakum County Assessor","Drew Jenkins","(Prefers Independent Party)","858","66.4601","County"
"Wahkiakum","Wahkiakum County Assessor","Justin Moriarty","(Prefers Independent Party)","425","32.9202","County"
"Wahkiakum","Wahkiakum County Assessor","WRITE-IN"," ","8","0.6197","County"
"Wahkiakum","Wahkiakum County Sheriff","Josh Grasseth","(Prefers Republican Party)","202","15.041","County"
"Wahkiakum","Wahkiakum County Sheriff","John Mason","(Prefers Independent Party)","1137","84.6612","County"
"Wahkiakum","Wahkiakum County Sheriff","WRITE-IN"," ","4","0.2978","County"
"Walla Walla","Walla Walla Walla Walla County Proposition No. 1 Emergency Communication Systems and Facilities Sales and Use Tax","YES [   ]"," ","5978","63.6838","County"
"Walla Walla","Walla Walla Walla Walla County Proposition No. 1 Emergency Communication Systems and Facilities Sales and Use Tax","NO [   ]"," ","3409","36.3162","County"
"Walla Walla","City of Waitsburg Mayor","Marty Dunn"," ","168","76.3636","City/Town"
"Walla Walla","City of Waitsburg Mayor","Jim Strawn"," ","9","4.0909","City/Town"
"Walla Walla","City of Waitsburg Mayor","Brad Sandau"," ","41","18.6364","City/Town"
"Walla Walla","City of Waitsburg Mayor","WRITE-IN"," ","2","0.9091","City/Town"
"Whatcom","COUNTY COUNCIL DISTRICT 2 Council District 2","Elizabeth Boyle"," ","5324","54.2933","County"
"Whatcom","COUNTY COUNCIL DISTRICT 2 Council District 2","Maya Morales"," ","2361","24.0771","County"
"Whatcom","COUNTY COUNCIL DISTRICT 2 Council District 2","Mike Cullum"," ","2078","21.1911","County"
"Whatcom","COUNTY COUNCIL DISTRICT 2 Council District 2","WRITE-IN"," ","43","0.4385","County"
"Whatcom","COUNTY COUNCIL DISTRICT 3 Council District 3","Jessica Rienstra"," ","5344","49.4129","County"
"Whatcom","COUNTY COUNCIL DISTRICT 3 Council District 3","Tyler Byrd"," ","2217","20.4993","County"
"Whatcom","COUNTY COUNCIL DISTRICT 3 Council District 3","Kyle Christensen"," ","2494","23.0606","County"
"Whatcom","COUNTY COUNCIL DISTRICT 3 Council District 3","Daniel Probst"," ","728","6.7314","County"
"Whatcom","COUNTY COUNCIL DISTRICT 3 Council District 3","WRITE-IN"," ","32","0.2959","County"
"Whatcom","PORT OF BELLINGHAM COMMISSIONER DISTRICT 2 Commissioner District 2","Ken Bell"," ","9244","59.1313","Port"
"Whatcom","PORT OF BELLINGHAM COMMISSIONER DISTRICT 2 Commissioner District 2","Carly James"," ","5599","35.8153","Port"
"Whatcom","PORT OF BELLINGHAM COMMISSIONER DISTRICT 2 Commissioner District 2","Kaylin A. Bosley"," ","727","4.6504","Port"
"Whatcom","PORT OF BELLINGHAM COMMISSIONER DISTRICT 2 Commissioner District 2","WRITE-IN"," ","63","0.403","Port"
"Whatcom","CITY OF BLAINE WARD 2 Council Ward 2 Position 4","Isaac Newland"," ","193","50.5236","City/Town"
"Whatcom","CITY OF BLAINE WARD 2 Council Ward 2 Position 4","Steven Tojek"," ","45","11.7801","City/Town"
"Whatcom","CITY OF BLAINE WARD 2 Council Ward 2 Position 4","Ray Leone"," ","144","37.6963","City/Town"
"Whatcom","CITY OF BLAINE WARD 2 Council Ward 2 Position 4","WRITE-IN"," ","0","0","City/Town"
"Whatcom","CITY OF SUMAS Council Position 2","Richard Postma"," ","112","40.2878","City/Town"
"Whatcom","CITY OF SUMAS Council Position 2","Brett Egbert"," ","95","34.1727","City/Town"
"Whatcom","CITY OF SUMAS Council Position 2","David Daniels"," ","71","25.5396","City/Town"
"Whatcom","CITY OF SUMAS Council Position 2","WRITE-IN"," ","0","0","City/Town"
"Whatcom","SEDRO-WOOLLEY SCHOOL DISTRICT NO. 101 Director District 1","Cindy Wiedmann"," ","0","0","School"
"Whatcom","SEDRO-WOOLLEY SCHOOL DISTRICT NO. 101 Director District 1","Brent Schiefelbein"," ","0","0","School"
"Whatcom","SEDRO-WOOLLEY SCHOOL DISTRICT NO. 101 Director District 1","Jim Kallio"," ","0","0","School"
"Whatcom","SEDRO-WOOLLEY SCHOOL DISTRICT NO. 101 Director District 1","WRITE-IN"," ","0","0","School"
"Whatcom","SOUTH WHATCOM FIRE AUTHORITY Proposition 2025-03 Restoring Regular Property Tax Levy","Yes"," ","2471","59.874","Fire"
"Whatcom","SOUTH WHATCOM FIRE AUTHORITY Proposition 2025-03 Restoring Regular Property Tax Levy","No"," ","1656","40.126","Fire"
"Whatcom","HOSPITAL DISTRICT 304 Commissioner Position 5","Germaine Kornegay"," ","1","33.3333","Hospital"
"Whatcom","HOSPITAL DISTRICT 304 Commissioner Position 5","Ellen de Jong"," ","2","66.6667","Hospital"
"Whatcom","HOSPITAL DISTRICT 304 Commissioner Position 5","Robert Stanley"," ","0","0","Hospital"
"Whatcom","HOSPITAL DISTRICT 304 Commissioner Position 5","WRITE-IN"," ","0","0","Hospital"
"Whatcom","POINT ROBERTS PUBLIC HOSPITAL DISTRICT Commissioner Position 2","Allison Calder"," ","94","22.7603","Hospital"
"Whatcom","POINT ROBERTS PUBLIC HOSPITAL DISTRICT Commissioner Position 2","Jen Olson Kurcz"," ","81","19.6126","Hospital"
"Whatcom","POINT ROBERTS PUBLIC HOSPITAL DISTRICT Commissioner Position 2","Alyssa Clark"," ","93","22.5182","Hospital"
"Whatcom","POINT ROBERTS PUBLIC HOSPITAL DISTRICT Commissioner Position 2","Alice Strombom"," ","90","21.7918","Hospital"
"Whatcom","POINT ROBERTS PUBLIC HOSPITAL DISTRICT Commissioner Position 2","Solomon Loop"," ","53","12.8329","Hospital"
"Whatcom","POINT ROBERTS PUBLIC HOSPITAL DISTRICT Commissioner Position 2","WRITE-IN"," ","2","0.4843","Hospital"
"Whatcom","WHATCOM COUNTY RURAL LIBRARY DISTRICT Proposition 2025-02 Levy for Library Operations and Maintenance","Yes"," ","18135","56.6064","Library"
"Whatcom","WHATCOM COUNTY RURAL LIBRARY DISTRICT Proposition 2025-02 Levy for Library Operations and Maintenance","No"," ","13902","43.3936","Library"
"Whitman","COMMISSIONER DISTRICT - 3 Commissioner 3","Tucker J. Senter","(Prefers Republican Party)","428","18.9632","Commissioner"
"Whitman","COMMISSIONER DISTRICT - 3 Commissioner 3","Cody Finch","(Prefers Conservative Party)","466","20.6469","Commissioner"
"Whitman","COMMISSIONER DISTRICT - 3 Commissioner 3","Chad Whetzel","(Prefers Republican Party)","1288","57.0669","Commissioner"
"Whitman","COMMISSIONER DISTRICT - 3 Commissioner 3","WRITE-IN"," ","75","3.323","Commissioner"
"Whitman","LAMONT SCHOOL DISTRICT - 264 Replacement Educational Programs and Operation Levy","Levy Yes"," ","28","66.6667","School"
"Whitman","LAMONT SCHOOL DISTRICT - 264 Replacement Educational Programs and Operation Levy","Levy No"," ","14","33.3333","School"
"Whitman","PULLMAN SCHOOL DISTRICT - 267 Director District 4","Deena Bayoumi"," ","1261","48.1665","School"
"Whitman","PULLMAN SCHOOL DISTRICT - 267 Director District 4","Hannah Martian"," ","831","31.7418","School"
"Whitman","PULLMAN SCHOOL DISTRICT - 267 Director District 4","Ben Emerson","(States No Party Preference)","516","19.7097","School"
"Whitman","PULLMAN SCHOOL DISTRICT - 267 Director District 4","WRITE-IN"," ","10","0.382","School"
"Whitman","PULLMAN SCHOOL DISTRICT - 267 Director District 5","Amanda Tanner"," ","610","22.7188","School"
"Whitman","PULLMAN SCHOOL DISTRICT - 267 Director District 5","Brandon Kruger"," ","849","31.6201","School"
"Whitman","PULLMAN SCHOOL DISTRICT - 267 Director District 5","Teena Edwards"," ","51","1.8994","School"
"Whitman","PULLMAN SCHOOL DISTRICT - 267 Director District 5","Stephanie A. Horn"," ","1171","43.6127","School"
"Whitman","PULLMAN SCHOOL DISTRICT - 267 Director District 5","WRITE-IN"," ","4","0.149","School"
"Whitman","FARMINGTON TOWN Excess Levy","Yes"," ","26","56.5217","City/Town"
"Whitman","FARMINGTON TOWN Excess Levy","No"," ","20","43.4783","City/Town"
"Whitman","WARD DISTRICT - 1 Ward 1 Council (7)","Bobbi Bennett-Wolcott"," ","208","14.4344","City/Town"
"Whitman","WARD DISTRICT - 1 Ward 1 Council (7)","John-Mark Mahnkey"," ","390","27.0645","City/Town"
"Whitman","WARD DISTRICT - 1 Ward 1 Council (7)","Cindy Kothandaraman"," ","31","2.1513","City/Town"
"Whitman","WARD DISTRICT - 1 Ward 1 Council (7)","James Pitzer"," ","187","12.9771","City/Town"
"Whitman","WARD DISTRICT - 1 Ward 1 Council (7)","Holly Greystone"," ","31","2.1513","City/Town"
"Whitman","WARD DISTRICT - 1 Ward 1 Council (7)","Randy Cross"," ","161","11.1728","City/Town"
"Whitman","WARD DISTRICT - 1 Ward 1 Council (7)","Bryan MacDonald"," ","430","29.8404","City/Town"
"Whitman","WARD DISTRICT - 1 Ward 1 Council (7)","WRITE-IN"," ","3","0.2082","City/Town"
"Whitman","WARD DISTRICT - 3 Ward 3 Council (5)","Karl Olsen"," ","135","21.6346","City/Town"
"Whitman","WARD DISTRICT - 3 Ward 3 Council (5)","Federico C. Bartolo III"," ","1","0.1603","City/Town"
"Whitman","WARD DISTRICT - 3 Ward 3 Council (5)","Michele Jandi Utzman"," ","6","0.9615","City/Town"
"Whitman","WARD DISTRICT - 3 Ward 3 Council (5)","John Cassleman"," ","169","27.0833","City/Town"
"Whitman","WARD DISTRICT - 3 Ward 3 Council (5)","Collin Bannister"," ","18","2.8846","City/Town"
"Whitman","WARD DISTRICT - 3 Ward 3 Council (5)","Dave Gibney"," ","5","0.8013","City/Town"
"Whitman","WARD DISTRICT - 3 Ward 3 Council (5)","V. Shae Ortega","(States No Party Preference)","86","13.7821","City/Town"
"Whitman","WARD DISTRICT - 3 Ward 3 Council (5)","Tawny Szumlas"," ","203","32.5321","City/Town"
"Whitman","WARD DISTRICT - 3 Ward 3 Council (5)","WRITE-IN"," ","1","0.1603","City/Town"
"Whitman","CITY OF TEKOA Council (7)","Cheri Currier"," ","31","19.375","City/Town"
"Whitman","CITY OF TEKOA Council (7)","Adam Matthews"," ","51","31.875","City/Town"
"Whitman","CITY OF TEKOA Council (7)","Reid A. Smith"," ","76","47.5","City/Town"
"Whitman","CITY OF TEKOA Council (7)","WRITE-IN"," ","2","1.25","City/Town"
"Yakima","Yakima Coroner","Dan Williams","(Prefers Republican Party)","4613","26.4386","County"
"Yakima","Yakima Coroner","Marshall Slight","(Prefers Republican Party)","12835","73.5614","County"
"Yakima","Yakima Coroner","WRITE-IN"," ","0","0","County"
"Yakima","CITY OF GRANGER Council, Position 3","Ryan &quot;Stoney&quot; Stonemetz"," ","55","38.1944","City/Town"
"Yakima","CITY OF GRANGER Council, Position 3","Silvia Zarate"," ","38","26.3889","City/Town"
"Yakima","CITY OF GRANGER Council, Position 3","Juan (Johnny) Isiordia"," ","51","35.4167","City/Town"
"Yakima","CITY OF GRANGER Council, Position 3","WRITE-IN"," ","0","0","City/Town"
"Yakima","CITY OF MABTON Mayor","Rachel Ruelas"," ","11","8.9431","City/Town"
"Yakima","CITY OF MABTON Mayor","Martha V. Gonzalez"," ","73","59.3496","City/Town"
"Yakima","CITY OF MABTON Mayor","Laura Vazquez"," ","39","31.7073","City/Town"
"Yakima","CITY OF MABTON Mayor","WRITE-IN"," ","0","0","City/Town"
"Yakima","CITY OF YAKIMA - DISTRICT 4 Council, District 4","Juliet Potrykus"," ","306","52.6678","City/Town"
"Yakima","CITY OF YAKIMA - DISTRICT 4 Council, District 4","Jason White"," ","72","12.3924","City/Town"
"Yakima","CITY OF YAKIMA - DISTRICT 4 Council, District 4","Janice Deccio"," ","139","23.9243","City/Town"
"Yakima","CITY OF YAKIMA - DISTRICT 4 Council, District 4","Isidro (Sid) Reynaga"," ","64","11.0155","City/Town"
"Yakima","CITY OF YAKIMA - DISTRICT 4 Council, District 4","WRITE-IN"," ","0","0","City/Town"
"Yakima","YAKIMA SCHOOL DISTRICT NO. 7 Director, Position 1","Esperanza Lemos"," ","1489","32.2993","School"
"Yakima","YAKIMA SCHOOL DISTRICT NO. 7 Director, Position 1","Pam Shelton"," ","2822","61.2148","School"
"Yakima","YAKIMA SCHOOL DISTRICT NO. 7 Director, Position 1","Jose Gutierrez"," ","299","6.4859","School"
"Yakima","YAKIMA SCHOOL DISTRICT NO. 7 Director, Position 1","WRITE-IN"," ","0","0","School"
"Yakima","YAKIMA SCHOOL DISTRICT NO. 7 Director, Position 2","Juan Romo"," ","683","14.2768","School"
"Yakima","YAKIMA SCHOOL DISTRICT NO. 7 Director, Position 2","Ryan Beckett"," ","2495","52.153","School"
"Yakima","YAKIMA SCHOOL DISTRICT NO. 7 Director, Position 2","Jonathan Babcock"," ","1606","33.5702","School"
"Yakima","YAKIMA SCHOOL DISTRICT NO. 7 Director, Position 2","WRITE-IN"," ","0","0","School"
"Yakima","SELAH SCHOOL DISTRICT NO. 119 Director, Position 1 at-large","Katrina Henkle"," ","593","29.784","School"
"Yakima","SELAH SCHOOL DISTRICT NO. 119 Director, Position 1 at-large","Ricky Adams"," ","392","19.6886","School"
"Yakima","SELAH SCHOOL DISTRICT NO. 119 Director, Position 1 at-large","Larry Patching"," ","863","43.3451","School"
"Yakima","SELAH SCHOOL DISTRICT NO. 119 Director, Position 1 at-large","Job Rabinowitz"," ","143","7.1823","School"
"Yakima","SELAH SCHOOL DISTRICT NO. 119 Director, Position 1 at-large","WRITE-IN"," ","0","0","School"
"Yakima","GRANDVIEW SCHOOL DISTRICT NO. 200 Director, District 5","Cecilia Lamas Noriega"," ","57","9.5798","School"
"Yakima","GRANDVIEW SCHOOL DISTRICT NO. 200 Director, District 5","Amanda Rodriguez"," ","117","19.6639","School"
"Yakima","GRANDVIEW SCHOOL DISTRICT NO. 200 Director, District 5","Elena Olmstead"," ","421","70.7563","School"
"Yakima","GRANDVIEW SCHOOL DISTRICT NO. 200 Director, District 5","WRITE-IN"," ","0","0","School"
"Yakima","SUNNYSIDE SCHOOL DIRECTOR DISTRICT NO. 3 Director, District 3","Evaristo Salas III"," ","49","40.1639","School"
"Yakima","SUNNYSIDE SCHOOL DIRECTOR DISTRICT NO. 3 Director, District 3","Laura Galvan"," ","61","50","School"
"Yakima","SUNNYSIDE SCHOOL DIRECTOR DISTRICT NO. 3 Director, District 3","Ana Maria Moreno"," ","12","9.8361","School"
"Yakima","SUNNYSIDE SCHOOL DIRECTOR DISTRICT NO. 3 Director, District 3","WRITE-IN"," ","0","0","School"
"Yakima","FIRE PROTECTION DISTRICT NO. 5 Commissioner, Position 2","Timothy B. Smith"," ","1037","67.033","Fire"
"Yakima","FIRE PROTECTION DISTRICT NO. 5 Commissioner, Position 2","Kenton Gartrell"," ","297","19.1984","Fire"
"Yakima","FIRE PROTECTION DISTRICT NO. 5 Commissioner, Position 2","Nicholas Bredwell"," ","213","13.7686","Fire"
"Yakima","FIRE PROTECTION DISTRICT NO. 5 Commissioner, Position 2","WRITE-IN"," ","0","0","Fire"
